fingerprint,title,author,date,categories,tags,id,license,comments,source,source-hostname,hostname,excerpt,filename,has_text
Q3VbaKLUXgCJubdqkVJbA2ppXHg=,Heirloom Pieces,Lisa L. Hannett,2015-02-03,Award Nominees;Short Fiction,Apex Magazine;Aurealis Award;Award;Heirloom Pieces;Issue 69;Lisa L Hannett;Short Fiction 2,9124,,,https://apex-magazine.com/short-fiction/heirloom-pieces/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/VZySFH8PckaLbA7fuxCwNgqgzbs.json,TRUE
mBGkuRaoVv4eBAxgGtYQ+Qx/RnE=,Uncontainable,Helen Stubbs,2016-12-06,Award Nominees;Short Fiction,Apex Magazine;Award;Helen Stubbs;Issue 91;Shadows Award;Short Fiction 2;Uncontainable,12587,,,https://apex-magazine.com/short-fiction/uncontainable/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/BuK26HZOOhBcvAyFhZFNScFpJ1U.json,TRUE
WO4FJOFe1nEXLxIjKv81LC9xf+c=,Face,Veronica Brush,2019-05-21,Short Fiction,Apex Magazine;Face;Issue 119;Short Fiction 2;Veronica Brush,16503,,,https://apex-magazine.com/short-fiction/face/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/EiiNs3Cyd-LQJrdA72dzuxe-fGc.json,TRUE
UlrHG/TvUmkYe2ieaGNWjFYrSXA=,The Toll of the Snake,Grace P. Fong,2023-04-04,Short Fiction,Apex Magazine;Asian And Pacific Islanders Special Issue;Cw;Grace P Fong;Issue 137;Short Fiction 2;The Toll Of The Snake,62810,,,https://apex-magazine.com/short-fiction/the-toll-of-the-snake/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/y3oOZ-wFna5VPCoFtW6KjcHk7FY.json,TRUE
cOiGFYeCRM9prbjiEp2Qi0Q99XY=,Blood on Beacon Hill,Russell Nichols,2015-11-03,Short Fiction,Apex Magazine;Blood On Beacon Hill;Issue 78;Russell Nichols;Short Fiction 2,10248,,,https://apex-magazine.com/short-fiction/blood-on-beacon-hill/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/S1wdfkl7vtZxfz2Smg0CdqDVB9s.json,TRUE
uhORDFW/VtnIvyOCmRx+sjich2E=,The Tolling of Pavlov’s Bells,Seanan McGuire,2011-01-06,Short Fiction,Apex Magazine;Cw;Issue 20;Seanan Mcguire;Short Fiction 2;The Tolling Of Pavlovs Bells,3814,,,https://apex-magazine.com/short-fiction/the-tolling-of-pavlovs-bells/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/aYvzsIMYvEswKVlXRMvM1Q8yDVk.json,TRUE
DrHSI+9XXc5Z95PoNxVLksefM4g=,Haruspicy and Other Amatory Divinations,Kat Howard,2013-12-03,Short Fiction,Apex Magazine;Haruspicy And Other Amatory Divinations;Issue 55;Kat Howard;Short Fiction 2,6872,,,https://apex-magazine.com/short-fiction/haruspicy-and-other-amatory-divinations/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/9vJYyQTSUVAr2lClFXsR5Q2arcM.json,TRUE
7FbbLtEYdTgJs6lmritL61lTf0g=,A Country of Eternal Light,Jennifer Donohue,2022-08-09,Short Fiction,A Country Of Eternal Light;Apex Magazine;Cw;Issue 132;Jennifer R Donohue 2,57151,,,https://apex-magazine.com/short-fiction/a-country-of-eternal-light/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/qKvcGcp52AAmhqZqvnUbYiYutj4.json,TRUE
KYm6uiYZzEMpQpH6tmUzy39iG44=,Murders Fell from Our Wombs,Tlotlo Tsamaase,2018-04-17,Short Fiction,Apex Magazine;Issue 107;Murder Fell From Our Wombs;Short Fiction 2;Tlotlo Tsamaase,14923,,,https://apex-magazine.com/short-fiction/murders-fell-from-our-wombs/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/aSMGJEkoziyX1WIqJQLubQB-rS0.json,TRUE
n6uL+5dsT0vtodja9WgZgq/rdJo=,The Case of the Mysterious Meat,Kate Ingram,2017-10-31,Short Fiction,Apex Magazine;Issue 101;Kate Ingram;Short Fiction 2;The Case Of The Mysterious Meat,14017,,,https://apex-magazine.com/short-fiction/the-case-of-the-mysterious-meat/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/fdvxl5OqBr3-M+oWKj-4eDxDj+U.json,TRUE
