fingerprint,title,author,date,categories,tags,id,license,comments,source,hostname,source-hostname,excerpt,filename,has_text
P+4Az5enNQsHx0FECbSxqdEhHNk=,Dust & Bone,Michael McGlade,2017-04-01,,,,,,,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/VThW8DzW3y3S9QKaI1fNa5APVdY.json,TRUE
sgxUj6zn/IGs64WftLj/nC7cdW8=,Black Hole Elvis,Nikita Andester,2022-02-22,,,,,,https://www.bourbonpenn.com/issue/26/black-hole-elvis-by-nikita-andester,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/EyT2OugreiRSE4siYJg0vjA+AmE.json,TRUE
PKzkb/hCildeG5HRQzIOKIqBd3k=,The Lonelyhearts Study,Julia Rocchi,2018-11-01,,,,,,https://www.bourbonpenn.com/issue/16/the-lonelyhearts-study-by-julia-rocchi,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/Ma67l8u9lwnbMSc6PAFeSlfIUvg.json,TRUE
PpZaPUe3s8arsXTs7DH0PBv+oYM=,Quiet Heaven,Charles Wilkinson,2021-07-20,,,,,,https://www.bourbonpenn.com/issue/24/quiet-heaven-by-charles-wilkinson,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/3ewOZp2XCOpy0SikZeMPBwL5698.json,TRUE
pHe1MROkrvA227PnZret6Tb6c/A=,Scrubbed,Rich Larson,2019-07-01,,,,,,https://www.bourbonpenn.com/issue/18/scrubbed-by-rich-larson,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/xczDSlQtz34yzPOFdXJF2EzhWs8.json,TRUE
Dwa8XZyXNk1NKnX+MFKpCcpvknc=,The Stranger,Tim Frank,2011-02-01,,,,,,https://www.bourbonpenn.com/issue/1/the-stranger-by-tim-frank,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/MKnLHxocODHxFsl3rRDV6SY-Q3Q.json,TRUE
MxSexEr+S/G2kdS80ZuI/7VL/I8=,We Aren’t Violent People,E.C. Barrett,2020-03-01,,,,,,https://www.bourbonpenn.com/issue/20/we-arent-violent-people-by-ec-barrett,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/UJ0cjv4ummv8U+pbaf0S5fwVBy8.json,TRUE
r58NTvauC8IyP0lWzVX3sd2FdFY=,Raising Water Girl,Emily C. Skaftun,2022-10-23,,,,,,https://www.bourbonpenn.com/issue/28/raising-water-girl-by-emily-c-skaftun,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/Kk00gCytLilkZswgaRZoZg1Sokw.json,TRUE
Z5Qw/q9lqqvIDKJxGnE2PPBPypA=,Short Straw,Jay Wilburn,2016-04-01,,,,,,https://www.bourbonpenn.com/issue/11/short-straw-by-jay-wilburn,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/oVwoEbrQ5F8b1Pee957qzY8tvKU.json,TRUE
cEv7Q+YhZnkCcRgZ8ap9mrVmLuI=,Hoo Hoo,Camilla Grudova,2018-11-01,,,,,,https://www.bourbonpenn.com/issue/16/hoo-hoo-by-camilla-grudova,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/9+5aNJZ1SP+7DG+WTqsGj2QfnQI.json,TRUE
T66u03ra+PV0m6pli8W20SxIcto=,The Hungry Eye,Chip Houser,2021-03-16,,,,,,https://www.bourbonpenn.com/issue/23/the-hungry-eye-by-chip-houser,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/5d7+eB+VocoypwlxGMUEqCIjr9Q.json,TRUE
