fingerprint,title,author,date,tags,excerpt,source-hostname,hostname,source
f+YzYcrqCHfIVdgPQoerAE6kVvA=,"Death and the Thunderbird, Pt. II",Michael J DeLuca,2012-07-02,,"Bienor let the bottle drop from his lips. A few fingers of liquid remained in the depths, but he'd had enough to serve his purpose and to spare. His head buzzed gloriously with alcohol and loss of blood; his lips were swollen with the last flavor he ever wanted to grace them. The end was coming. He thought he could see it already in the cloudy haze above the cliffs. It looked like snow.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/death-and-the-thunderbird-pt-ii-by-michael-j-deluca/
tJNUZbyfjTjXsLlWnJCL7QOjpx8=,"Do As I Do, Sing As I Sing",Sarah Pinsker,2018-03-10,,"At every opportunity, I asked a variation on the question that haunted me: what would happen to my village if Kirren died before I returned? If we weren't special, why didn't they teach more of us, so there would be no risk of my family starving? They never answered.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/do-as-i-do-sing-as-i-sing/
2EiC5nG6hiZnXl9AU+nx2h/RxoA=,The City Still Dreams of Her Name,Benjanun Sriduangkaew,2022-11-18,,"My substance is much declined, yet on occasion I draw humans who can hear echoes of what I once was. They climb the winding steps up my pagodas, descend deep into the bowels beneath my palaces, venture between the serpentine stacks of my high-spired libraries. The human soul yearns for cities, even if they do not realize it, and their hearts revolve toward our kind as flowers turn toward the sun. This is true even for cities whose names—like mine—have been swallowed up by catastrophe and oblivion.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-city-still-dreams-of-her-name/
IJJfRAMKqT7+Hw2el7fR/8K8SUU=,"Death and the Thunderbird, Pt. I",Michael J DeLuca,2022-11-18,,"A shattering scream from the roof of the train; another body tumbling hooves over head. A baleful eye glaring out of the locomotive smoke, and Bienor could no longer deny it: something was there, neither centaur nor human. As he hunkered down against the corner of the coal-car, he struggled to accept it. Whether a ghost, a god, or the malevolent sorcerous eye of Eurytus, it was there. Real. The thunderbird.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/death-and-the-thunderbird-pt-i-by-michael-j-deluca/
0LzF74qJwCmwX9+TtoXUpzkYCwM=,A Circle of Steel and Bone,R K Duncan,2019-06-24,,"Singling out the watch would keep suspicion focused outward, Meinrad hoped, to the woods and the wild Prussians who had not yet submitted to the order and the church. With so few knights and half-brothers under him, infighting would leave them defenseless fast. Fear of the outside was manageable.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/a-circle-of-steel-and-bone/
bnd+9kXBUI1KRQepJZD6yS+isI0=,"The Jewels of Montforte, Pt. II",Adam Corbin Fusco,2022-11-18,,"Now a cold anger overcame Absinthe. How could this boy deign to come between him and his treasure, tittering his way across the Archipelago? How could he himself think that frills and creamy silks could deliver into his hands what he desired? Elaborate capers were all well and good at whiles, but most times the only solution to a problem was a swift, sure, well-delivered blade.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-jewels-of-montforte-pt-ii-by-adam-corbin-fusco/
svvo/rhq56Su3q+JteK5yO0zPUk=,Luck Fish,Peta Freestone,2022-11-18,,(This story has been removed from the archives at the author’s request.),Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/luck-fish/
9vObu/YXFdjVDB2PxmWWDQ+u9AI=,"What the River Brings, and What It Takes Away",Natalia Theodoridou,2022-11-18,,"It was only months after she'd moved to the cabin, months of teeth cracking on stone, that she thought the witch may have meant her harm. Not a conspiracy between women, one free thanks to age, the other free thanks to cunning and constitution, but a punishment intended to ruin her. And yet Sapo kept at it, kept eating the mountain, stone by stone by stone, because she feared that if she didn't, it would come, and she didn't want it.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/what-the-river-brings-and-what-it-takes-away/
PJBjWR6tpxk2l2Dz0GxUYq7CRP8=,Nightshade,J W Halicks,2017-04-06,,"There is greater magic still he could deploy. He could weave an illusion that would swallow the tree from sight. Or let his heartbeat ease down into a shallow nothing—the stillness of the grave—so no sound or motion could betray him. But he resists. Ezekiel is curious. Lyla was sure-footed on the journey, in the dark. How long will it take for her to learn his hiding-place?",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/nightshade/
s6smQr01EmknH+mOKBfq62UNoEQ=,The Bonedrake’s Penance,Yoon Ha Lee,2014-03-21,,"""Stop,"" my mother said, even more gravely. ""You're already thinking of counterarguments and edge cases. That is perfectly fine if you are a mathematician or a philosopher. The fortress is not about ensuring justice, or righting wrongs, or even compassion. It is about enduring and remembering all the things that people bring us to safeguard for them, the histories and the artifacts. Justice, for the things they remember—that's something that civilizations have to negotiate for themselves.""",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-bonedrakes-penance/
